filename,class
0.png,4
1.png,4
2.png,0
3.png,4
4.png,4
5.png,0
6.png,0
7.png,0
8.png,0
9.png,0
10.png,0
11.png,0
12.png,4
13.png,2
14.png,0
15.png,0
16.png,4
17.png,1
18.png,4
19.png,4
20.png,0
21.png,0
22.png,4
23.png,4
24.png,0
25.png,4
26.png,0
27.png,4
28.png,4
29.png,4
30.png,1
31.png,0
32.png,4
33.png,1
34.png,4
35.png,4
36.png,4
37.png,0
38.png,4
39.png,0
40.png,0
41.png,0
42.png,4
43.png,4
44.png,4
45.png,0
46.png,0
47.png,4
48.png,2
49.png,0
50.png,4
51.png,0
52.png,0
53.png,4
54.png,4
55.png,4
56.png,1
57.png,0
58.png,0
59.png,4
60.png,4
61.png,0
62.png,1
63.png,4
64.png,0
65.png,4
66.png,1
67.png,0
68.png,0
69.png,0
70.png,4
71.png,0
72.png,4
73.png,4
74.png,0
75.png,4
76.png,0
77.png,4
78.png,4
79.png,0
80.png,4
81.png,0
82.png,0
83.png,1
84.png,4
85.png,0
86.png,4
87.png,0
88.png,0
89.png,4
90.png,4
91.png,4
92.png,4
93.png,0
94.png,0
95.png,4
96.png,4
97.png,4
98.png,4
99.png,0
100.png,4
101.png,4
102.png,4
103.png,4
104.png,0
105.png,4
106.png,4
107.png,4
108.png,4
109.png,4
110.png,4
111.png,4
112.png,4
113.png,4
114.png,4
115.png,1
116.png,0
117.png,4
118.png,4
119.png,4
120.png,0
121.png,0
122.png,0
123.png,4
124.png,0
125.png,4
126.png,4
127.png,4
128.png,4
129.png,4
130.png,0
131.png,0
132.png,4
133.png,4
134.png,0
135.png,0
136.png,4
137.png,4
138.png,0
139.png,0
140.png,4
141.png,0
142.png,0
143.png,4
144.png,4
145.png,4
146.png,1
147.png,4
148.png,2
149.png,0
150.png,0
151.png,4
152.png,0
153.png,0
154.png,0
155.png,4
156.png,4
157.png,0
158.png,1
159.png,0
160.png,4
161.png,4
162.png,4
163.png,4
164.png,0
165.png,1
166.png,4
167.png,4
168.png,4
169.png,4
170.png,0
171.png,4
172.png,0
173.png,0
174.png,0
175.png,0
176.png,4
177.png,1
178.png,1
179.png,0
180.png,4
181.png,4
182.png,4
183.png,4
184.png,0
185.png,0
186.png,0
187.png,0
188.png,4
189.png,4
190.png,2
191.png,4
192.png,0
193.png,0
194.png,4
195.png,4
196.png,4
197.png,4
198.png,1
199.png,4
200.png,4
201.png,0
202.png,4
203.png,4
204.png,4
205.png,4
206.png,0
207.png,4
208.png,4
209.png,0
210.png,1
211.png,0
212.png,0
213.png,4
214.png,0
215.png,0
216.png,4
217.png,4
218.png,4
219.png,4
220.png,4
221.png,0
222.png,2
223.png,0
224.png,1
225.png,4
226.png,4
227.png,0
228.png,4
229.png,4
230.png,4
231.png,4
232.png,4
233.png,0
234.png,4
235.png,0
236.png,0
237.png,0
238.png,4
239.png,4
240.png,4
241.png,1
242.png,0
243.png,0
244.png,0
245.png,4
246.png,0
247.png,1
248.png,0
249.png,4
250.png,1
251.png,4
252.png,4
253.png,1
254.png,1
255.png,0
256.png,4
257.png,4
258.png,1
259.png,4
260.png,0
261.png,4
262.png,4
263.png,0
264.png,4
265.png,4
266.png,4
267.png,4
268.png,1
269.png,0
270.png,4
271.png,0
272.png,4
273.png,4
274.png,4
275.png,4
276.png,0
277.png,0
278.png,4
279.png,4
280.png,4
281.png,0
282.png,4
283.png,4
284.png,0
285.png,4
286.png,0
287.png,0
288.png,4
289.png,1
290.png,4
291.png,0
292.png,0
293.png,4
294.png,4
295.png,4
296.png,4
297.png,1
298.png,4
299.png,0
300.png,4
301.png,0
302.png,0
303.png,2
304.png,4
305.png,1
306.png,4
307.png,4
308.png,1
309.png,4
310.png,0
311.png,4
312.png,0
313.png,0
314.png,4
315.png,0
316.png,1
317.png,1
318.png,4
319.png,0
320.png,4
321.png,0
322.png,0
323.png,0
324.png,4
325.png,0
326.png,4
327.png,4
328.png,4
329.png,4
330.png,1
331.png,1
332.png,4
333.png,4
334.png,0
335.png,4
336.png,4
337.png,4
338.png,0
339.png,0
340.png,4
341.png,0
342.png,4
343.png,4
344.png,0
345.png,4
346.png,0
347.png,4
348.png,0
349.png,1
350.png,1
351.png,4
352.png,0
353.png,4
354.png,1
355.png,4
356.png,0
357.png,4
358.png,0
359.png,4
360.png,4
361.png,4
362.png,0
363.png,4
364.png,4
365.png,1
366.png,0
367.png,4
368.png,0
369.png,0
370.png,4
371.png,4
372.png,4
373.png,0
374.png,4
375.png,0
376.png,4
377.png,4
378.png,4
379.png,0
380.png,4
381.png,0
382.png,4
383.png,0
384.png,0
385.png,4
386.png,0
387.png,4
388.png,4
389.png,4
390.png,4
391.png,4
392.png,0
393.png,0
394.png,0
395.png,0
396.png,1
397.png,0
398.png,1
399.png,4
400.png,4
401.png,0
402.png,4
403.png,4
404.png,1
405.png,4
406.png,4
407.png,4
408.png,0
409.png,0
410.png,4
411.png,0
412.png,4
413.png,4
414.png,0
415.png,4
416.png,4
417.png,0
418.png,0
419.png,0
420.png,4
421.png,0
422.png,0
423.png,1
424.png,0
425.png,4
426.png,0
427.png,4
428.png,4
429.png,1
430.png,4
431.png,0
432.png,0
433.png,4
434.png,4
435.png,4
436.png,4
437.png,4
438.png,4
439.png,4
440.png,0
441.png,4
442.png,0
443.png,0
444.png,4
445.png,4
446.png,0
447.png,0
448.png,0
449.png,4
450.png,4
451.png,4
452.png,0
453.png,0
454.png,0
455.png,4
456.png,0
457.png,4
458.png,0
459.png,0
460.png,4
461.png,4
462.png,0
463.png,4
464.png,4
465.png,0
466.png,0
467.png,0
468.png,4
469.png,4
470.png,0
471.png,4
472.png,0
473.png,4
474.png,0
475.png,4
476.png,4
477.png,0
478.png,1
479.png,4
480.png,0
481.png,0
482.png,0
483.png,4
484.png,1
485.png,4
486.png,4
487.png,1
488.png,0
489.png,4
490.png,0
491.png,4
492.png,4
493.png,4
494.png,4
495.png,0
496.png,4
497.png,4
498.png,4
499.png,4
500.png,4
501.png,4
502.png,0
